,Durat,Flags,Flows,Packets Bytes,Prot,Port
0,4.974,PA_,1444,4,TCP,0
1,0.0,INT,89,1,UDP,0
2,0.0,INT,179,1,UDP,0
3,0.0,INT,71,1,UDP,25
4,0.0,INT,77,1,UDP,1039
5,4.917,A_,2244,34,TCP,34388
6,0.499,PA_,129,2,TCP,0
7,0.0,INT,182,1,UDP,0
8,0.095,PA_,120,2,TCP,5678
9,3.096,SRPA_,1276,5,TCP,0
10,0.0,INT,75,1,UDP,0
11,0.0,INT,73,1,UDP,0
12,2.35,PA_,256,4,TCP,0
13,0.0,A_,66,1,TCP,25
14,0.0,INT,81,1,UDP,25
15,4.852,PA_,279,3,TCP,0
16,0.0,INT,60,1,UDP,25
17,0.0,INT,76,1,UDP,0
18,0.0,INT,70,1,UDP,3883
19,0.0,INT,60,1,UDP,41901
20,4.079,PA_,94919,66,TCP,40914
21,0.0,INT,74,1,UDP,0
22,0.0,INT,133,1,UDP,25
23,0.0,INT,141,1,UDP,59489
24,0.0,INT,92,1,UDP,53
25,0.377,INT,219,3,UDP,0
26,0.0,INT,478,1,UDP,25
27,0.23399999999999999,SPA_,602,5,TCP,38465
28,1.014,FPA_,8169,8,TCP,80
29,0.158,PA_,1534,4,TCP,25
30,0.0,A_,60,1,TCP,0
31,0.0,PA_,507,2,TCP,21
32,0.33299999999999996,PA_,120,2,TCP,25
33,0.387,INT,121,2,UDP,3128
34,0.0,INT,60,1,UDP,25
35,0.0,INT,133,1,UDP,0
36,0.0,INT,143,1,UDP,0
37,0.0,INT,108,1,UDP,0
38,0.183,_FSPA,26860,22,TCP,39914
39,0.0,ECO,98,1,ICMP,113
40,0.0,INT,76,1,UDP,0
41,0.0,INT,74,1,UDP,21
42,0.0,A_,66,1,TCP,25
43,2.8810000000000002,PA_,1690,13,TCP,0
44,3.342,INT,143,1,UDP,0
45,0.0,PA_,60,1,TCP,0
46,0.0,INT,72,1,UDP,0
47,0.0,INT,81,1,UDP,0
48,0.9209999999999999,PA_,1443,6,TCP,25
49,0.0,PA_,70,1,TCP,0
50,0.0,INT,62,1,UDP,5678
51,0.0,INT,73,1,UDP,37436
52,0.0,INT,133,1,UDP,25
53,0.0,INT,206,1,UDP,36022
54,0.0,INT,90,1,UDP,0
55,0.0,INT,133,1,UDP,44481
56,0.085,PA_,3105,38,TCP,80
57,0.2,INT,151,2,UDP,0
58,0.0,A_,66,1,TCP,25
59,0.27699999999999997,PA_,1282,4,TCP,25
60,0.0,A_,66,1,TCP,1082
61,0.002,INT,400,2,UDP,57572
62,0.0,INT,73,1,UDP,0
63,4.993,PA_,1359,21,TCP,0
64,0.0,A_,66,1,TCP,1080
65,2.344,_FSPA,1022,9,TCP,21
66,0.0,INT,85,1,UDP,0
67,0.248,PA_,340,2,TCP,25
68,0.0,INT,98,1,UDP,8082
69,0.0,INT,83,1,UDP,0
70,0.281,PA_,129,2,TCP,53
71,0.0,INT,72,1,UDP,38999
72,0.0,INT,327,1,UDP,25
73,0.0,INT,220,1,UDP,1025
74,0.0,INT,221,1,UDP,0
75,0.0,INT,468,1,UDP,21
76,0.0,INT,73,1,UDP,53
77,0.0,INT,73,1,UDP,0
78,0.0,INT,535,1,UDP,0
79,1.608,PA_,120,2,TCP,25
80,0.05,SPA_,7985,8,TCP,0
81,0.19699999999999998,PA_,293,2,TCP,0
82,0.0,INT,60,1,UDP,25
83,4.553,FA_,132,2,TCP,25
84,0.0,INT,129,1,UDP,6667
85,0.0,INT,133,1,UDP,8080
86,0.0,INT,90,1,UDP,0
87,0.0,A_,66,1,TCP,0
88,0.0,INT,133,1,UDP,25
89,1.518,PA_,492,7,TCP,2055
90,0.191,PA_,377,2,TCP,1080
91,0.267,PA_,768,2,TCP,21
92,0.0,INT,66,1,UDP,25
93,0.005,_FSPA,2181,5,TCP,0
94,0.0,INT,197,1,UDP,56845
95,2.265,PA_,1311,10,TCP,0
96,0.0,INT,107,1,UDP,8090
97,0.0,PA_,60,1,TCP,0
98,0.0,INT,148,1,UDP,0
99,0.0,INT,60,1,UDP,25
100,0.0,INT,482,1,UDP,25
101,0.0,PA_,107,1,TCP,50699
102,4.144,_FSPA,878,3,TCP,25
103,0.0,INT,81,1,UDP,0
104,0.0,INT,60,1,UDP,80
105,0.1,FA_,132,2,TCP,25
106,0.0,INT,84,1,UDP,38418
107,0.0,INT,570,1,UDP,0
108,0.0,INT,418,2,UDP,0
109,0.0,INT,78,1,UDP,38427
110,0.8,PA_,836,11,TCP,25
111,0.0,INT,67,1,UDP,50874
112,0.0,FA_,60,1,TCP,25
113,0.0,INT,480,1,UDP,25
114,0.0,INT,481,1,UDP,57387
115,0.0,INT,72,1,UDP,0
116,0.0,A_,60,1,TCP,25
117,0.0,FA_,60,1,TCP,0
118,0.249,PA_,1769,3,TCP,80
119,4.289,A_,39858,28,TCP,9999
120,0.0,INT,619,1,UDP,6667
121,4.95,PA_,125014,91,TCP,25
122,0.0,INT,84,1,UDP,81
123,0.0,FA_,120,2,TCP,25
124,0.158,PA_,352,4,TCP,5678
125,0.0,INT,467,1,UDP,21
126,0.0,INT,73,1,UDP,25
127,0.0,A_,60,1,TCP,25
128,0.0,A_,60,1,TCP,60416
129,0.47700000000000004,FSRA_,302,5,TCP,25
130,0.0,INT,60,1,UDP,2068
131,0.273,SPA_,7892,9,TCP,48603
132,0.0,INT,75,1,UDP,6588
133,0.0,FA_,66,1,TCP,25
134,0.245,PA_,298,4,TCP,25
135,0.6,INT,146,2,UDP,25
136,0.0,FA_,60,1,TCP,8000
137,0.0,INT,174,1,UDP,42000
138,0.0,INT,75,1,UDP,42067
139,4.923,SPA_,35816,69,TCP,1052
140,0.65,PA_,186,3,TCP,3128
141,0.0,INT,76,1,UDP,0
142,0.225,PA_,1149,2,TCP,25
143,0.0,INT,158,1,UDP,0
144,0.0,A_,60,1,TCP,5678
145,3.93,SPA_,138182,101,TCP,25
146,0.0,INT,199,1,UDP,0
147,0.0,INT,75,1,UDP,6588
148,0.0,INT,124,1,UDP,3326
149,0.0,INT,75,1,UDP,53
150,0.002,SPA_,1617,3,TCP,25
151,0.0,INT,129,1,UDP,0
152,3.0010000000000003,PA_,7690,23,TCP,25
